Frame,Angle (degrees),Classification
1,81.07712780214597,direct
2,80.42413101332718,direct
3,79.5589416472285,direct
4,77.78849162352402,direct
5,75.3495310865659,direct
6,73.50057748380581,direct
7,73.08967395048987,direct
9,65.91106149663072,direct
10,65.20578944368351,direct
11,63.06250046441618,direct
12,62.18958455615367,direct
13,60.116262193297175,direct
14,58.89523691212835,direct
15,77.38945799605887,direct
16,71.65776271349691,direct
17,66.40366005118722,direct
18,66.59952244480756,direct
19,71.41826470185532,direct
20,73.25558170479155,direct
21,76.5105299220119,direct
22,79.75213588888973,direct
23,82.73828641333044,direct
24,85.57708857144965,direct
25,88.57581268175421,direct
26,88.57581268175421,direct
27,86.23802169573636,direct
28,85.03025927188969,direct
29,85.54027679851617,direct
30,86.9363883404483,direct
31,89.50749826623667,direct
32,89.47596784856961,direct
33,86.04890881586502,direct
34,82.49526754938805,direct
35,79.36034968731123,direct
36,71.4542277572322,direct
37,73.46516214265485,direct
38,74.99868153952852,direct
39,77.56813937178494,direct
40,77.74282618975941,direct
41,79.62415507994895,direct
42,77.5331113368225,direct
43,76.87821645866651,direct
44,75.58989052014424,direct
45,72.06653315895956,direct
46,67.3651243686475,direct
47,63.783247143580766,direct
48,62.04201287078369,direct
49,61.96379151825606,direct
50,61.272096733776955,direct
51,61.7296237536881,direct
52,71.87392031182989,direct
53,79.8244891569568,direct
54,86.66152945623566,direct
55,88.12978190425154,direct
56,83.08877288097531,direct
57,69.37646861667477,direct
58,67.10420291856143,direct
59,63.43494882292201,direct
60,61.98210645354541,direct
61,62.53351618606099,direct
62,62.7325839080394,direct
63,64.03593146176995,direct
64,66.48390463834335,direct
65,68.31770838675506,direct
66,71.31264849478883,direct
67,74.5641381125332,direct
68,77.93511558947458,direct
69,81.90075158982611,direct
70,84.15543412261313,direct
71,85.81508387488158,direct
72,87.8613174223337,direct
73,89.75514773195566,direct
74,89.24283113494147,direct
75,90.0,direct
76,89.72051060945525,direct
77,88.47653520834817,direct
78,89.31385580216477,direct
79,90.0,direct
80,86.29537255792289,direct
81,84.65694424142484,direct
82,85.71084667118099,direct
83,85.25603405695955,direct
84,84.78198287642492,direct
85,82.61395684873273,direct
86,84.59166784252466,direct
87,89.38394009160076,direct
88,84.85723544211575,direct
89,81.59108826739929,direct
90,76.77312843603465,direct
91,72.13513962207688,direct
92,69.46979861245414,direct
93,68.0361649260413,direct
94,68.36205877057101,direct
95,69.52215643273848,direct
96,71.42252465635141,direct
97,72.99714736124264,direct
98,74.76459088664056,direct
99,76.181403270629,direct
100,77.15611715311798,direct
101,78.86369056881827,direct
102,80.3914221313059,direct
103,81.51442923732448,direct
104,82.52844082340762,direct
105,83.99099404250548,direct
106,85.10090754621223,direct
107,85.79806364184037,direct
108,86.78193871620579,direct
109,87.70938995736147,direct
110,88.17445769267013,direct
111,88.8542371618249,direct
112,89.54164354199956,direct
113,89.53794727856923,direct
114,90.0,direct
115,90.0,direct
116,89.53607670137391,direct
117,89.53037298031036,direct
118,89.76614097412673,direct
119,89.52254622269042,direct
120,88.8015183498815,direct
121,88.30104702855405,direct
122,87.78795799795165,direct
123,87.27368900609372,direct
124,87.01336300952482,direct
125,86.75088843927931,direct
126,86.76498494221542,direct
127,86.25235502523395,direct
128,85.75438921589709,direct
129,84.51244293990874,direct
130,83.05901657125742,direct
131,81.59108826739929,direct
132,80.86115088030732,direct
133,74.84150140689442,direct
134,83.37294056712754,direct
135,76.08104557911487,direct
136,74.3855985654718,direct
137,70.07718364825021,direct
138,64.89225705335544,direct
139,57.68541429165876,direct
140,52.12501634890178,direct
141,46.24150985846518,direct
142,40.16204475884004,direct
143,87.98652450460901,direct
144,33.26142879327767,direct
145,27.02617425514964,direct
146,21.70543674610559,direct
147,52.03341645969492,direct
148,84.26662524162813,direct
149,89.35383439396843,direct
150,89.36340642403651,direct
151,88.10487517830691,direct
152,88.33368363814675,direct
153,87.74542503406497,direct
154,73.41266144307258,direct
155,75.7499673021964,direct
156,83.0345815099449,direct
157,87.90474743537615,direct
158,87.14854370926294,direct
159,82.01421920336668,direct
160,77.06454248444071,direct
161,73.55662038514458,direct
162,72.35823280736084,direct
163,72.5319767487223,direct
164,73.1528005635329,direct
165,73.08045907710013,direct
166,72.34987578006988,direct
167,72.89727103094764,direct
168,72.71444270360011,direct
169,72.91149893716451,direct
170,75.91402062484966,direct
171,72.88268452935006,direct
172,74.08192683401751,direct
173,75.33733478645783,direct
174,77.49255536946816,direct
175,78.50022137014277,direct
176,79.50852298766841,direct
177,80.53767779197439,direct
178,81.22494425552033,direct
179,82.96902670084825,direct
180,83.30131891241228,direct
181,85.20453616341338,direct
182,86.24827092947402,direct
183,86.49271051567787,direct
184,85.72934559039066,direct
185,84.87180895814716,direct
186,83.72086945247914,direct
187,77.34353759042135,direct
189,80.11412799749668,direct
190,80.38027220030114,direct
191,80.77607771789465,direct
192,81.45816060211223,direct
193,82.63379610677401,direct
194,84.24859790963401,direct
195,85.15259260943228,direct
196,84.36931724236473,direct
197,82.64091231798479,direct
198,78.46070213987481,direct
199,76.91365133078904,direct
200,67.05801075002772,direct
201,55.12467165539782,direct
202,65.45631376327802,direct
203,71.4423623292389,direct
204,76.40516366592503,direct
205,83.33334010909863,direct
206,85.45624234853284,direct
207,83.96999119171853,direct
208,77.68055474336339,direct
209,71.83404347077446,direct
210,70.4841269904173,direct
211,67.9993016494594,direct
212,58.89119117145485,direct
