Time (seconds),angle_std,angle_medium,angle_median,angle_min,angle_max,velocity_std,velocity_medium,velocity_median,velocity_min,velocity_max,acceleration_std,acceleration_medium,acceleration_median,acceleration_min,acceleration_max,Classification
0,0.5821269618925766,88.94723553011173,88.644280410732,88.29413427942012,89.9779177225285,0.16338263962835814,0.0056821620301104585,0.0064509775943193,-0.2940617355045347,0.2545768856817147,0.05816964384370009,-0.002052846278328738,-0.0112337901030343,-0.1005510039665971,0.0868589232730698,indirect
1,4.602053754862735,86.22828684627034,89.14663886488259,75.97383979057443,89.80708088977498,0.500575652992471,-0.46959431104272226,-0.25029350015284274,-1.1397528291084311,0.1731148381361649,0.0946416190750559,-0.03079779449867021,0.00270767673325525,-0.2329038233812461,0.0833489335654107,indirect
2,6.756960612269983,77.27849187118721,74.61298417263733,69.95637377503242,88.92976520448423,0.8379311482470867,0.4438513268951148,0.5443044576696678,-0.7409458702385052,1.5752240166375202,0.15858594019817884,0.02448758724480092,0.05966749880442095,-0.2545639689560843,0.2605093577253399,indirect
3,9.679402790098168,80.96344456443461,83.97691617147628,52.20128112855639,88.86471919292454,1.8070809807443573,-1.4203137320225068,-0.7389993814251596,-5.716751586397393,-0.0753019159628536,0.37368825295561603,-0.10953621135337788,-0.0733289867407494,-1.3949862404649194,0.7404285574041473,indirect
4,14.868559722214265,68.70708817529052,78.1969445798824,44.23397210439847,82.33347347589371,3.1157072565469837,1.8760955832665855,0.2436737509333421,-1.99182725603948,7.625561915814885,1.1845013693071853,-0.040645278044339705,0.16092340426682486,-2.077867740594776,1.2949657144966982,indirect
5,15.363184397890882,52.45578873971765,53.87163377489554,30.128770671138977,78.50084779726124,5.3870149714091715,-0.911844769445324,0.9244209538187986,-9.88364529375071,5.923394209420309,1.9420190776658843,0.12290631430455314,-0.43674188016757753,-2.585868615047527,3.666207851748597,indirect
6,2.047830820293082,67.90955264085636,68.08143771878765,63.45930906706753,71.97833007741528,0.22903097018234295,0.30473724761365006,0.2794787658449387,-0.0768768434294031,0.692540291929717,0.08100583140805379,0.0009505027440710035,-0.00476697270991975,-0.1034277365529501,0.16968045850804,indirect
7,5.622131575774049,80.13741190095044,79.38104936255698,72.64321421294987,89.21658227798571,0.35867480541895125,0.5467755259274182,0.6167920942713145,-0.3799071892971923,1.0102347541020509,0.14942182784290428,-0.03823408310156158,-0.0573463248265291,-0.3455861264018551,0.1954181977541935,indirect
8,2.2218203606928646,83.19760527200674,82.59416722546229,80.89047674441126,88.45676789939132,0.4648872849236746,-0.1127491752555836,-0.06544288075343725,-0.7622041272041784,0.5593735189302009,0.06753347486610962,0.024070966761650776,0.0442993240920639,-0.1700480878832024,0.0873666733039115,indirect
9,1.5657135996558038,88.6675327054167,89.50887679659567,85.44368408899084,89.95835879408322,0.20388667789144876,0.14074558061324538,0.041798818924181746,-0.0512894225455156,0.5298683183453576,0.05023538855710958,-0.006451831631653465,-0.0007615562956394999,-0.0993135836097138,0.0896159583784736,indirect
10,1.5180921501174411,88.18768493658828,88.47156469709591,85.78960923171392,89.82446380651992,0.12342811610629112,-0.12646973951925036,-0.1391028771194413,-0.3311806641940507,0.0426576647928058,0.02894998057275765,-0.0032795437805200897,0.005530704497308699,-0.0691988906689715,0.0326886434454927,indirect
11,1.194271236151496,87.18647257905405,87.28534362245436,85.68109065548337,89.11783116713474,0.09863922530186661,0.1117872686178664,0.08818629662198055,-0.0480857329545827,0.2800595117130413,0.045631009225432576,0.0014692559614884805,0.0176541259474607,-0.1323295432530393,0.0673904600504613,indirect
12,5.337205146036421,82.30484495150985,83.73096672487996,74.22453384691256,89.10908074625218,0.4842452560035833,-0.4302176348576627,-0.39878260258173265,-1.0381496922562192,0.9477878272227968,0.15248207610306172,0.035652817054067414,-0.01787199155296185,-0.1542809867484997,0.3433608450509524,indirect
13,5.393717052717885,80.03579458151616,82.12646519968885,67.91023398350548,85.68375135396018,2.042517408772563,0.13488281675131641,0.40987165813637455,-3.841067938375396,4.187685637394615,0.9395378462785354,-0.12727201405317598,-0.1293831171783068,-1.9105042558087248,1.9990056018925344,indirect
14,1.9451910048825831,77.36318549757654,77.36318549757654,75.98772774732099,78.73864324783209,0.12645617384660274,-2.800807897876691,-2.800807897876691,-2.8902259159265284,-2.711389879826853,0.15133715214994486,0.06979313168117951,0.06979313168117951,-0.0372183948495068,0.1768046582118658,indirect
16,20.552151969429985,56.12389134748738,59.04799806933482,20.406828160186297,79.57489484436532,2.761224949567743,-2.83142376116096,-3.0416723530093774,-6.813406269227432,1.7778351985941114,1.0271885595848418,-0.2480358222366935,-0.2647038025093486,-2.018418357672033,1.321649837905106,indirect
